Program,Degree Level,University,Sponsor,Scholarship,Relatives,Visa Attempt,Visa Result,Id
Criminal Justice,,Western Michigan University,Uncle,,Uncle,Second,Refused,0
,,,,,,Second (Refusal Category),,1
,,DePaul University,Father,Yes,,Refused,,2
PhD in Physics,PhD,Purdue University,,Fully funded,No,First,Approved,3
Cyber Security,Masters,UD,Uncle,,Uncle,First,Refused,4
,,University of Wisconsin Milwaukee,Father,,,Second,Refused,5
MBA,Masters,Oklahoma City University,Parents,,Father s,Third,Refused,6
,,Saint Cloud State University,Father,Yes,,First,Refused,7
Nutrition in Psychology,Masters,Illinois State University,Mother,,,First,Refused,8
,,,,,,Second,Previously Refused,9
Computer Science,Bachelors,University of Central Florida,,,,First,Refused,10
Computer Science,Masters,University of the Pacific,Father,,,Second,Approved,11
,,,Father,,,First,Refused,12
MBA,Masters,New York Institute of Technology,Father,,,First,Refused,13
Data Science,Masters,University of New Haven,Father,,,Second,"Rejected

It's difficult to determine the exact reason for visa refusal without knowing the specific details of the case. However, some general tips for improving your chances of getting a visa approval in the next attempt are:

1. Be confident and honest in your answers.
2. Make sure all your documents are complete and up-to-date.
3. Practice your English language skills, especially speaking and listening.
4. Be prepared to explain any discrepancies or mistakes in your application.
5. Show strong ties to your home country, such as family, job, or property ownership.
6. Have a clear plan for your studies and future career goals.
7. Address any concerns raised in the previous interviews, such as the mistake in your address or the reason for choosing a particular university.
8. Consider getting professional help from an immigration lawyer or visa consultant.",14
Technology Management,Masters,University of Massachusetts Dartmouth,,,,First,Refused,15
Marketing,Bachelors,St Louis University,Father,,"2 brothers, 2 sisters",Second,Refused,16
Information Technology,Bachelors,,Father and,14000 USD per year,One younger brother,Second,Refused,17
Mechanical Engineering,Masters,,Father,Yes,,First,Refused (221(g)),18
,,,,,Sister,First,Refused,19
,,,,,,Second,,20
Business Administration and Management,Bachelor's,Troy University,Father,,,Second,Refused,21
Computer Science,Masters,,,,,Second,Refused,22
Biotechnology,Masters,Texas Tech University,Loan and waivers,Yes,,First,Refused (221g),23
BSCS,,St. Cloud State University,Father,"$7,906 ",N/A s,3,Rejected,24
IELI,,University of North Texas,Brother-in-law and Mother,,Sister,First,Refused (214b),25
MS Finance,Masters,Illinois Institute of Technology,,Merit Scholarship,,2nd,Refused,26
Engineering Management,Masters,St. Cloud State University,Self and Father,,Brother,First,Refused,27
,,University of Alabama Huntsville,,,,First,Refused,28
PhD Computing and Information Sciences,PhD,,Fully funded scholarship,Yes,,First,Refused (221g),29
Computer Science,Bachelors,Missouri State University,Father,,,Second,Refused,30
,,Full Sail University,Father,,,First,Refused,31
Biology,Masters,Rutgers University,Brother,,Brother and Parents,First,Refused,32
Computer Software Technology,,,Father,,Brother,First,Refused,33
Computer Science,Masters,DePaul University,,,,First,Refused,34
Public Administration,Masters,LU,Father,,No,First,Refused,35
MBA,Masters,University of Bridgeport,Husband,Yes,,First,Refused,36
Bachelor,,Miami University,,,,2ndAttempt,Refused,37
,,,Father,,,Second,Approved,38
Food Technology and Processing,,Minnesota State University Mankato,Mother,,,First,Refused,39
,,,,,,Third,,40
,,,,,,First,Refused/221g/Administrative Processing,41
,,,,,,Second,Refused (previous attempt),42
MS Marketing with concentration of Data mining,Masters,USF,,,,Third,Refused,43
Physics PhD,PhD,Georgia State University,,Fully Funded,Brother,First,Refused,44
,,,Husband,,,Third,Refused,45
PhD in Mathematics,PhD,RPI,,Fully Funded,,First,Refused,46
International Business,Bachelors,Minnesota State University,Mother,,,First,Refused,47
Data Sciences,Masters,XYZ University,,,,Second,Refused,48
Engineering Management,Masters,Westcliff Irvine,Father,,,Second,Refused,49
Computer Science,Bachelors,Tennessee Tech University,Father,,,First,Refused,50
Computer Science,,,,,,First,Refused,51
MS in Information Technology,Masters,Gannon University,Father,,,Second,Refused,52
MSBA,Masters,Southern Methodist University,,Yes,,Third,,53
Business Management,Bachelors,,Father,,,Second,Refused,54
Computer Science,,University of Alabama,Parents,,,Second,Refused,55
Business Administration,Bachelors,Murray State University,Father,,,Second,Refused (first attempt),56
Computer Science,Bachelors,University of Illinois at Chicago,Father,,,First,Refused,57
,,,,Full,Brother,First,Refused,58
Electrical and Electronics Engineering,Masters,Lamar University,,Out of state waiver,,First,Refused (214b),59
MBA Entrepreneurship,,Bay Atlantic University,Father,35% Annual,,Third,Refused,60
,,Westcliff University,,,,Second,Refused,61
Civil Engineering,,University of Illinois Urbana Champaign and University of Texas Arlington,,,,Second,,62
,,Adelphi University,,,,,,63
,,,,,,,Refused,64
Electrical and Computer Engineering,Masters,Illinois Institute of Technology,,,,First,Refused,65
,,Texas A&M University Corpus Christi,SAME,,,Second,Refused,66
Health Care Administration,Masters,University of Potomac,Aunt,,Aunt,Second,Refused,67
Computer Science,Bachelors,San Francisco State University,Father,,,First,Refused,68
Business Analytics,Masters,Mercer University,Self,,Father,First,Refused,69
,,,,,,Previous Visa Refusal,N/A (not mentioned if the visa was approved or refused this time),70
,,,,,,First,Refused (status unclear),71
Flight Training,,,Father and Cousin,,,2nd,Refused,72
Big Data Analysts,Masters,Bay Atlantic University,,,Elder Brother,First,Refused,73
ECE,BS,SIUE/Purdue Northwest,Father,8K/year (SIUE),Uncle (previous attempts),Third,Refused (previous attempts),74
BBA in Business Management,Transfer Student,,,,,First,Refused,75
Engineering Management,Masters,,Landlord/Business Owner,,,First,Refused,76
Environmental Studies,Masters,Lamar University,Father,,,First,Refused,77
Architecture,,Tacoma Community College,,,,First,Refused,78
Information System,Bachelors,Adelphi University,Father,,,First,Refused,79
Business Administration and Management,Masters,Webster University,Father,,No,Second,Refused,80
Industrial Engineering,Masters,University of Houston,Self and Father,,,First,Approved,81
Transportation,,University of Washington Seattle,Father,,Yes,First,Approved,82
Civil Engineering,Masters,Purdue,,,Aunt,First,Approved,83
MS Finance,Masters,University of Houston,Father,Yes,,First,Approved,84
PhD,PhD,Idaho State University,,Fully funded,,First,Approved,85
Nursing,Bachelors,Central Michigan University,Mother,50%,No,First,Approved,86
,,,,Fully Funded,,First,Approved,87
CS,MS,TU,and Student Loan,Yes,,First,Approved,88
Physics,PhD,Oklahoma State University,,Fully funded,No,Second,Approved,89
Business Administration,Bachelors,,Parents and Uncle,Yes,Yes,Second,Approved,90
Public Health (Epidemiology),Masters,,Parents,,Elder brothers in UK and Australia,First,Approved,91
Computer Science,Undergraduate,University of Connecticut,Father,Yes,,First,Approved,92
Information Technology,Masters,University of Cumberlands,Brother,,"Brother, 2 sisters",First,Approved,93
Phd Environmental Science,Phd,University of Idaho,Father,University and Professor,,First,"Refused (initially), Approved (after further questioning)",94
Masters,,,Self-funded,,,,,95
,,,,,,,Approved,96
CS,Masters,Western New England,Father,,,First,Approved,97
Construction Management,Masters,University of North Texas,Father,,,First,Approved,98
CS,,USF,,"12,000 USD",Father,First,Approved,99
MBA in Marketing,Masters,New Mexico Highland University,Uncle,,Brother,First,Approved,100
Business,Bachelors,,Father,,,Third,Approved,101
,,,,,,First,Approved,102
PhD Computer Science,PhD,Stony Brook,Fully Funded,Yes,,First,Approved,103
Business Administration,Bachelors,University of South Alabama,Father,,Sister in Spain,Third,Approved,104
Business Analytics,MS,,,,Yes,First,Approved,105
Mechanical Engineering,Masters,University of Cincinnati,Father,$20k,,First,Approved,106
Public Health,Masters,University of New Haven,Father,,,First,Approved,107
Computer Science,Masters,George Washington University,Father,"$37,000 ",Uncle,First,Approved,108
Computer Science,Bachelor's,Georgia State University,Told,,,First,Approved,109
Computer Science,Bachelors,Minnesota State University Mankato,Father,Yes,,First,Approved,110
Business Studies,Bachelors,Rhodes College,Father,Yes,Father,First,Approved,111
,,Drexel University,Father,,No,First,Approved,112
Cinematography and Film/Video Production,Bachelor's,University of Missouri-Kansas City,Father,,Sister,First,Approved,113
Agricultural and Applied Economics,Masters,University of Illinois Urbana Champaign,Professor,Fully funded,,First,Approved,114
BBA,,Westcliff University,Father,,No,First,Approved,115
Hospitality Management,Masters,Iowa State University,Mother,,Mother,First,Approved,116
Computer Science,Masters,DePaul University,Parents,,Two sisters,First,Approved,117
Data Science,,Stevens Institute of Technology,and Student Loan,Yes,No,First,Approved,118
Undisclosed,Bachelors,University of Kansas,Father,Yes,Yes,First,Approved,119
Masters,,Top 20 Grad Program,Uncle and Aunt,Dean's Scholarship,Uncle and Aunt,Third,Approved,120
International Business,BS,"University of Minnesota, Mankato",Father,$8k,Brother,First,Approved,121
Computer Science PhD,PhD,"University of California, Davis",Father,Fully funded,,First,Approved,122
Civil Engineering,Masters,Texas Tech University,Father,50%,,First,Approved,123
Civil Engineering,Masters,Lamar University,Father,Merit-based,,First,Approved,124
Power Engineering,Masters,IIT Chicago,Father,,"2 Brothers, 2 Sisters",First,Approved,125
Energy Systems,Masters,Illinois Institute of Technology,Father,,,First,Approved,126
,,Union College,Father,Yes,Yes,First,Approved,127
Master's,,ABC University,XYZ,,,First,Approved,128
"Aerospace Engineering (Pathway+Bachelors), Mechanical Engineering (Bachelors)",Bachelors,"Wichita State University, Indiana Institute of Technology",Father,"$13,000 ",No s,4,Refused,129
Civil Engineering,Graduate,University of Alabama,Father,Graduate Assistantship,,First,Approved,130
Computer Science,Bachelor's,University of Massachusetts Amherst,Father,Yes,Yes,First,Approved,131
Agriculture,Bachelor,Southwest Minnesota State University,Father,,,2nd,Approved,132
Biomedical Engineering PhD,PhD,The Ohio State University,Research Associate Position,Fully Funded,,First,Approved,133
Civil Engineering,Masters,University of Texas at Austin,Uncle,,Uncle,First,Approved,134
Engineering Education PhD,PhD,State University of New York at Buffalo,,Fully funded,,First,Approved,135
Information Systems,Masters,Cleveland State University,Mother,,,First,Approved,136
Computer Science,Bachelors,University of Southern Mississippi,Father,100% tuition scholarship,No relatives in US,First,Approved,137
Civil Engineering,MS,,Father,Research Assistantship,,First,Approved,138
Differential Equations,,Harvard,Self,,,First,Approved,139
,,Cleveland State University,Cousin,,,First,Approved,140
